               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055216,              0.5126,            0.018303,             0.72955,             0.47582,             0.52002,             0.30953,            0.048637,             0.44388,            0.015867,           0.0033041,           0.0033041,            0.070263
                   1,            0.054889,             0.52878,            0.018203,             0.62098,             0.40856,             0.43833,             0.23558,            0.054746,              0.5485,            0.017014,           0.0065717,           0.0065717,            0.040197
                   2,            0.059145,              0.5466,            0.019569,             0.62107,             0.42879,             0.44566,             0.24422,            0.056886,             0.50537,            0.017315,           0.0097733,           0.0097733,            0.010066
                   3,            0.062181,             0.58768,            0.020446,             0.61283,             0.39317,             0.42115,             0.19112,            0.059091,             0.58684,            0.019819,            0.009703,            0.009703,            0.009703
                   4,            0.061439,             0.59025,            0.021654,             0.55323,             0.38638,              0.3923,             0.19438,            0.059713,             0.56019,            0.020464,            0.009703,            0.009703,            0.009703
                   5,            0.061752,             0.55822,            0.021467,             0.59045,             0.41362,             0.41808,             0.21083,             0.05763,             0.51815,            0.018499,            0.009604,            0.009604,            0.009604
                   6,            0.061998,             0.56063,            0.020627,             0.53809,             0.37371,             0.40079,             0.21588,             0.05755,             0.53529,            0.019305,            0.009505,            0.009505,            0.009505
                   7,            0.059593,              0.5364,            0.020347,             0.68952,             0.40383,              0.4375,             0.23689,            0.055165,              0.5175,            0.018591,            0.009406,            0.009406,            0.009406
                   8,            0.061412,             0.56193,            0.020132,             0.61318,             0.41665,             0.43013,             0.21479,            0.057043,             0.51342,            0.018131,            0.009307,            0.009307,            0.009307
                   9,            0.059748,             0.54442,            0.020654,             0.72127,              0.4337,             0.46361,             0.25696,            0.053494,             0.48006,            0.017231,            0.009208,            0.009208,            0.009208
                  10,             0.05885,             0.53492,            0.019602,             0.74127,             0.41688,             0.46622,             0.25869,            0.053595,             0.48035,             0.01714,            0.009109,            0.009109,            0.009109
                  11,            0.059089,             0.52446,            0.019549,             0.73474,             0.41202,             0.46037,             0.24253,            0.054325,             0.54088,             0.01737,             0.00901,             0.00901,             0.00901
                  12,            0.058366,             0.54898,            0.019626,             0.72307,             0.43037,             0.46594,             0.25804,            0.052574,             0.49332,            0.016912,            0.008911,            0.008911,            0.008911
